timestamp,frame,mode,centroid_yaw,action_zone_yaw,raw_delta_deg,target_yaw,bias_applied_deg,confidence,action_intensity_score,breakaway_score,switch_of_play_score,lead_deg,recommended_fov,subgroup_size,subgroup_track_ids,comp_sub_speed_norm,comp_coherence,comp_main_speed_norm,comp_sep_growth,comp_size_penalty,reason_code,reason
43.544,1305,follow,49.69,3.42,-46.27,34.69,-15.0,0.895,0.946,0.877,0.923,6.75,98.8,3,3;11;30,0.099,0.998,0.215,0.0,0.0,active,"breakaway: subgroup(n=3, breakaway=0.88) vs main cluster; bias -15.0deg applied"
44.044,1320,follow,18.04,5.32,-12.72,7.47,-10.57,0.798,0.92,0.0,0.303,-0.52,89.5,0,,0.0,0.0,0.159,0.0,0.0,active,"steady-state: zone 5.3 vs centroid 18.0, bias -10.6deg (conf 0.80)"
44.544,1335,follow,14.54,6.79,-7.75,8.13,-6.41,0.889,0.928,0.0,0.513,0.54,92.7,0,,0.0,0.0,0.167,0.0,0.0,active,switch of play: score 0.51; bias -6.4deg applied
45.045,1350,follow,20.2,8.97,-11.23,12.88,-7.32,0.868,0.911,0.0,0.107,2.8,87.0,0,,0.0,0.0,0.136,0.0,0.0,active,"steady-state: zone 9.0 vs centroid 20.2, bias -7.3deg (conf 0.87)"
45.546,1365,follow,18.24,9.63,-8.61,9.48,-8.76,0.847,0.912,0.0,0.164,-1.74,87.5,0,,0.0,0.0,0.308,0.0,0.0,active,"steady-state: zone 9.6 vs centroid 18.2, bias -8.8deg (conf 0.85)"
46.046,1380,follow,-0.08,9.26,9.34,5.45,5.53,0.736,0.905,0.0,0.228,-1.83,89.0,0,,0.0,0.0,0.123,0.0,0.0,active,"steady-state: zone 9.3 vs centroid -0.1, bias +5.5deg (conf 0.74)"
46.547,1395,follow,-1.67,9.06,10.73,6.8,8.47,0.781,0.915,0.0,0.139,0.11,88.3,0,,0.0,0.0,0.122,0.0,0.0,active,"steady-state: zone 9.1 vs centroid -1.7, bias +8.5deg (conf 0.78)"
47.047,1410,follow,-3.91,7.15,11.06,1.96,5.87,0.841,0.931,0.0,0.623,-4.08,94.3,0,,0.0,0.0,0.118,0.0,0.0,active,switch of play: score 0.62; bias +5.9deg applied
47.547,1425,follow,-7.19,2.67,9.86,-5.22,1.97,0.801,0.929,0.0,0.557,-7.4,93.3,0,,0.0,0.0,0.115,0.0,0.0,active,switch of play: score 0.56; bias +2.0deg applied
48.048,1440,follow,-6.01,0.81,6.82,1.61,7.62,0.828,0.926,0.0,0.458,2.39,91.9,0,,0.0,0.0,0.117,0.0,0.0,active,"steady-state: zone 0.8 vs centroid -6.0, bias +7.6deg (conf 0.83)"
48.549,1455,follow,-2.51,-1.19,1.32,-2.92,-0.41,0.845,0.914,0.0,0.048,-1.81,87.3,0,,0.0,0.0,0.14,0.0,0.0,active,"steady-state: zone -1.2 vs centroid -2.5, bias -0.4deg (conf 0.85)"
49.049,1470,follow,1.26,-0.26,-1.52,4.24,2.98,0.83,0.911,0.0,0.042,5.11,87.5,0,,0.0,0.0,0.11,0.0,0.0,active,"steady-state: zone -0.3 vs centroid 1.3, bias +3.0deg (conf 0.83)"
49.55,1485,follow,-0.08,-1.07,-0.99,-3.35,-3.27,0.775,0.914,0.0,0.136,-3.23,88.4,0,,0.0,0.0,0.11,0.0,0.0,active,"steady-state: zone -1.1 vs centroid -0.1, bias -3.3deg (conf 0.78)"
50.05,1500,follow,-2.75,-1.1,1.65,-0.37,2.38,0.855,0.926,0.0,0.364,1.13,90.5,0,,0.0,0.0,0.152,0.0,0.0,active,"steady-state: zone -1.1 vs centroid -2.8, bias +2.4deg (conf 0.86)"
50.55,1515,follow,2.64,-2.31,-4.95,-4.2,-6.84,0.89,0.915,0.0,0.138,-2.73,87.1,0,,0.0,0.0,0.11,0.0,0.0,active,"steady-state: zone -2.3 vs centroid 2.6, bias -6.8deg (conf 0.89)"
51.051,1530,follow,1.22,-1.68,-2.9,1.53,0.31,0.901,0.929,0.0,0.569,3.25,93.5,0,,0.0,0.0,0.086,0.0,0.0,active,switch of play: score 0.57; bias +0.3deg applied
51.552,1545,follow,0.11,-1.91,-2.02,-2.9,-3.01,0.859,0.916,0.0,0.234,-1.48,88.5,0,,0.0,0.0,0.075,0.0,0.0,active,"steady-state: zone -1.9 vs centroid 0.1, bias -3.0deg (conf 0.86)"
52.052,1560,follow,-1.86,-2.28,-0.42,-2.67,-0.81,0.886,0.924,0.0,0.38,-0.49,90.7,0,,0.0,0.0,0.138,0.0,0.0,active,"steady-state: zone -2.3 vs centroid -1.9, bias -0.8deg (conf 0.89)"
52.553,1575,follow,4.77,-1.66,-6.43,1.14,-3.63,0.812,0.912,0.0,0.051,1.96,87.8,0,,0.0,0.0,0.133,0.0,0.0,active,"steady-state: zone -1.7 vs centroid 4.8, bias -3.6deg (conf 0.81)"
53.053,1590,follow,3.64,-1.31,-4.95,-0.82,-4.46,0.882,0.928,0.0,0.579,-0.11,93.7,0,,0.0,0.0,0.067,0.0,0.0,active,switch of play: score 0.58; bias -4.5deg applied
53.553,1605,follow,-2.34,-3.19,-0.85,-7.48,-5.14,0.904,0.924,0.0,0.391,-4.83,90.9,0,,0.0,0.0,0.105,0.0,0.0,active,"steady-state: zone -3.2 vs centroid -2.3, bias -5.1deg (conf 0.90)"
54.054,1620,follow,8.01,-1.98,-9.99,4.05,-3.96,0.896,0.911,0.0,0.069,5.56,86.6,0,,0.0,0.0,0.11,0.0,0.0,active,"steady-state: zone -2.0 vs centroid 8.0, bias -4.0deg (conf 0.90)"
54.555,1635,follow,1.14,-2.53,-3.67,-4.41,-5.55,0.824,0.913,0.0,0.138,-3.07,87.6,0,,0.0,0.0,0.097,0.0,0.0,active,"steady-state: zone -2.5 vs centroid 1.1, bias -5.6deg (conf 0.82)"
55.055,1650,follow,-5.83,-4.11,1.72,-6.71,-0.88,0.83,0.934,0.0,0.754,-2.78,96.3,0,,0.0,0.0,0.082,0.0,0.0,active,switch of play: score 0.75; bias -0.9deg applied
55.556,1665,follow,-1.62,-5.02,-3.4,-4.26,-2.64,0.844,0.911,0.0,0.053,0.27,87.3,0,,0.0,0.0,0.113,0.0,0.0,active,"steady-state: zone -5.0 vs centroid -1.6, bias -2.6deg (conf 0.84)"
56.056,1680,follow,-1.18,-6.2,-5.02,-6.43,-5.25,0.823,0.909,0.0,0.05,-1.36,87.6,0,,0.0,0.0,0.076,0.0,0.0,active,"steady-state: zone -6.2 vs centroid -1.2, bias -5.3deg (conf 0.82)"
56.556,1695,follow,-4.3,-7.61,-3.31,-8.11,-3.81,0.799,0.913,0.0,0.152,-1.46,88.0,0,,0.0,0.0,0.079,0.0,0.0,active,"steady-state: zone -7.6 vs centroid -4.3, bias -3.8deg (conf 0.80)"
57.057,1710,follow,-4.63,-8.02,-3.39,-6.45,-1.82,0.817,0.905,0.0,0.029,1.16,87.7,0,,0.0,0.0,0.049,0.0,0.0,active,"steady-state: zone -8.0 vs centroid -4.6, bias -1.8deg (conf 0.82)"
57.558,1725,follow,-4.31,-8.43,-4.12,-7.79,-3.48,0.781,0.907,0.0,0.086,-0.33,88.3,0,,0.0,0.0,0.031,0.0,0.0,active,"steady-state: zone -8.4 vs centroid -4.3, bias -3.5deg (conf 0.78)"
58.058,1740,follow,2.31,-6.8,-9.11,-1.88,-4.19,0.878,0.921,0.0,0.424,4.33,91.4,0,,0.0,0.0,0.048,0.0,0.0,active,"steady-state: zone -6.8 vs centroid 2.3, bias -4.2deg (conf 0.88)"
58.559,1755,follow,-2.81,-7.07,-4.26,-9.44,-6.63,0.907,0.911,0.0,0.148,-3.04,87.2,0,,0.0,0.0,0.059,0.0,0.0,active,"steady-state: zone -7.1 vs centroid -2.8, bias -6.6deg (conf 0.91)"
59.059,1770,follow,-2.6,-6.76,-4.16,-5.16,-2.56,0.84,0.923,0.0,0.406,1.12,91.1,0,,0.0,0.0,0.128,0.0,0.0,active,"steady-state: zone -6.8 vs centroid -2.6, bias -2.6deg (conf 0.84)"
59.559,1785,follow,-0.99,-5.35,-4.36,-2.36,-1.37,0.861,0.938,0.0,0.803,2.77,97.0,0,,0.0,0.0,0.144,0.0,0.0,active,switch of play: score 0.80; bias -1.4deg applied
60.06,1800,follow,-0.12,-4.75,-4.63,-4.65,-4.53,0.845,0.912,0.0,0.114,-0.73,87.3,0,,0.0,0.0,0.103,0.0,0.0,active,"steady-state: zone -4.8 vs centroid -0.1, bias -4.5deg (conf 0.85)"
60.56,1815,follow,-1.29,-4.64,-3.35,-4.6,-3.31,0.83,0.918,0.0,0.188,-0.64,87.8,0,,0.0,0.0,0.132,0.0,0.0,active,"steady-state: zone -4.6 vs centroid -1.3, bias -3.3deg (conf 0.83)"
61.061,1830,follow,3.2,-4.11,-7.31,-1.99,-5.19,0.829,0.937,0.0,0.73,1.05,95.9,0,,0.0,0.0,0.141,0.0,0.0,active,switch of play: score 0.73; bias -5.2deg applied
61.562,1845,follow,3.36,-4.46,-7.82,-4.53,-7.89,0.841,0.915,0.0,0.139,-1.57,87.4,0,,0.0,0.0,0.118,0.0,0.0,active,"steady-state: zone -4.5 vs centroid 3.4, bias -7.9deg (conf 0.84)"
62.062,1860,follow,-0.06,-4.98,-4.92,-4.47,-4.41,0.784,0.916,0.0,0.128,-0.7,88.2,0,,0.0,0.0,0.149,0.0,0.0,active,"steady-state: zone -5.0 vs centroid -0.1, bias -4.4deg (conf 0.78)"
62.562,1875,follow,0.22,-4.84,-5.06,-2.87,-3.09,0.781,0.925,0.0,0.429,1.11,91.4,0,,0.0,0.0,0.106,0.0,0.0,active,"steady-state: zone -4.8 vs centroid 0.2, bias -3.1deg (conf 0.78)"
63.063,1890,follow,-2.3,-5.59,-3.29,-6.64,-4.34,0.83,0.911,0.0,0.126,-1.93,87.5,0,,0.0,0.0,0.07,0.0,0.0,active,"steady-state: zone -5.6 vs centroid -2.3, bias -4.3deg (conf 0.83)"
63.563,1905,follow,-2.05,-5.78,-3.73,-4.59,-2.54,0.84,0.907,0.0,0.048,0.7,87.4,0,,0.0,0.0,0.057,0.0,0.0,active,"steady-state: zone -5.8 vs centroid -2.0, bias -2.5deg (conf 0.84)"
64.064,1920,follow,-1.12,-5.48,-4.36,-4.13,-3.01,0.879,0.912,0.0,0.183,0.94,87.8,0,,0.0,0.0,0.052,0.0,0.0,active,"steady-state: zone -5.5 vs centroid -1.1, bias -3.0deg (conf 0.88)"
64.564,1935,follow,31.92,-5.15,-37.07,16.92,-15.0,0.879,0.932,0.817,0.265,0.33,91.1,4,10;26;38;40,0.096,0.496,0.04,0.0,0.0,active,"breakaway: subgroup(n=4, breakaway=0.82) vs main cluster; bias -15.0deg applied"
65.065,1950,follow,1.0,-4.33,-5.33,-2.25,-3.25,0.822,0.94,0.0,0.94,1.38,99.1,0,,0.0,0.0,0.123,0.0,0.0,active,switch of play: score 0.94; bias -3.3deg applied
65.566,1965,follow,1.34,-3.91,-5.25,-3.19,-4.53,0.823,0.908,0.0,0.147,-0.25,87.7,0,,0.0,0.0,0.038,0.0,0.0,active,"steady-state: zone -3.9 vs centroid 1.3, bias -4.5deg (conf 0.82)"
66.066,1980,follow,1.45,-3.2,-4.65,-1.62,-3.07,0.842,0.915,0.0,0.231,1.0,88.5,0,,0.0,0.0,0.088,0.0,0.0,active,"steady-state: zone -3.2 vs centroid 1.4, bias -3.1deg (conf 0.84)"
66.567,1995,follow,-2.64,-3.81,-1.17,-5.53,-2.89,0.798,0.928,0.828,0.098,-2.45,91.2,5,3;34;36;37;39,0.102,0.572,0.076,0.0,0.0,active,"breakaway: subgroup(n=5, breakaway=0.83) vs main cluster; bias -2.9deg applied"
67.067,2010,follow,-2.15,-3.97,-1.82,-3.2,-1.05,0.82,0.908,0.0,0.111,0.54,87.7,0,,0.0,0.0,0.057,0.0,0.0,active,"steady-state: zone -4.0 vs centroid -2.1, bias -1.0deg (conf 0.82)"
67.567,2025,follow,-2.92,-5.9,-2.98,-8.78,-5.86,0.821,0.939,0.0,0.864,-4.16,98.0,0,,0.0,0.0,0.108,0.0,0.0,active,switch of play: score 0.86; bias -5.9deg applied
68.068,2040,follow,-3.34,-6.86,-3.52,-5.67,-2.33,0.811,0.91,0.0,0.062,0.65,87.8,0,,0.0,0.0,0.091,0.0,0.0,active,"steady-state: zone -6.9 vs centroid -3.3, bias -2.3deg (conf 0.81)"
68.569,2055,follow,-14.41,-10.96,3.45,-18.06,-3.65,0.816,0.911,0.0,0.032,-7.92,87.8,0,,0.0,0.0,0.113,0.0,0.0,active,"steady-state: zone -11.0 vs centroid -14.4, bias -3.6deg (conf 0.82)"
69.069,2070,follow,-4.62,-11.54,-6.92,-6.48,-1.86,0.866,0.921,0.0,0.382,4.77,90.7,0,,0.0,0.0,0.067,0.0,0.0,active,"steady-state: zone -11.5 vs centroid -4.6, bias -1.9deg (conf 0.87)"
69.57,2085,follow,-7.05,-11.54,-4.49,-10.09,-3.04,0.832,0.923,0.0,0.331,0.85,90.0,0,,0.0,0.0,0.125,0.0,0.0,active,"steady-state: zone -11.5 vs centroid -7.0, bias -3.0deg (conf 0.83)"
70.07,2100,follow,-11.24,-13.13,-1.89,-15.84,-4.6,0.835,0.931,0.0,0.532,-3.62,93.0,0,,0.0,0.0,0.144,0.0,0.0,active,switch of play: score 0.53; bias -4.6deg applied
70.57,2115,follow,-8.5,-12.75,-4.25,-9.36,-0.86,0.844,0.918,0.0,0.297,3.23,89.5,0,,0.0,0.0,0.071,0.0,0.0,active,"steady-state: zone -12.7 vs centroid -8.5, bias -0.9deg (conf 0.84)"
71.071,2130,follow,-9.41,-12.57,-3.16,-12.17,-2.76,0.832,0.915,0.0,0.165,-0.16,87.5,0,,0.0,0.0,0.095,0.0,0.0,active,"steady-state: zone -12.6 vs centroid -9.4, bias -2.8deg (conf 0.83)"
71.572,2145,follow,-10.24,-13.22,-2.98,-14.2,-3.96,0.837,0.913,0.0,0.143,-1.75,87.4,0,,0.0,0.0,0.077,0.0,0.0,active,"steady-state: zone -13.2 vs centroid -10.2, bias -4.0deg (conf 0.84)"
72.072,2160,follow,-7.99,-13.52,-5.53,-11.89,-3.9,0.746,0.936,0.0,0.691,0.3,95.4,0,,0.0,0.0,0.132,0.0,0.0,active,switch of play: score 0.69; bias -3.9deg applied
72.573,2175,follow,-13.24,-15.08,-1.84,-16.88,-3.64,0.733,0.912,0.0,0.046,-3.12,89.0,0,,0.0,0.0,0.127,0.0,0.0,active,"steady-state: zone -15.1 vs centroid -13.2, bias -3.6deg (conf 0.73)"
73.073,2190,follow,-6.28,-16.02,-9.74,-13.91,-7.63,0.797,0.919,0.0,0.197,0.17,88.1,0,,0.0,0.0,0.122,0.0,0.0,active,"steady-state: zone -16.0 vs centroid -6.3, bias -7.6deg (conf 0.80)"
73.573,2205,follow,-3.09,-15.81,-12.72,-11.64,-8.55,0.789,0.922,0.0,0.244,1.88,88.7,0,,0.0,0.0,0.157,0.0,0.0,active,"steady-state: zone -15.8 vs centroid -3.1, bias -8.6deg (conf 0.79)"
74.074,2220,follow,-20.33,-16.69,3.64,-19.17,1.16,0.877,0.939,0.883,0.337,-2.32,91.6,2,34;36,0.089,0.993,0.116,0.0,0.0,active,"breakaway: subgroup(n=2, breakaway=0.88) vs main cluster; bias +1.2deg applied"
74.575,2235,follow,-6.35,-15.74,-9.39,-11.61,-5.26,0.888,0.936,0.893,0.06,3.47,91.7,2,34;37,0.209,1.0,0.217,0.0,0.0,active,"breakaway: subgroup(n=2, breakaway=0.89) vs main cluster; bias -5.3deg applied"
75.075,2250,follow,1.59,-14.67,-16.26,-11.51,-13.1,0.861,0.912,0.0,0.119,1.04,87.1,0,,0.0,0.0,0.098,0.0,0.0,active,"steady-state: zone -14.7 vs centroid 1.6, bias -13.1deg (conf 0.86)"
75.576,2265,follow,1.46,-13.08,-14.54,-9.95,-11.41,0.913,0.934,0.0,0.628,2.05,94.4,0,,0.0,0.0,0.165,0.0,0.0,active,switch of play: score 0.63; bias -11.4deg applied
76.076,2280,follow,6.92,-9.81,-16.73,-3.04,-9.96,0.857,0.918,0.0,0.101,5.1,87.2,0,,0.0,0.0,0.201,0.0,0.0,active,"steady-state: zone -9.8 vs centroid 6.9, bias -10.0deg (conf 0.86)"
76.576,2295,follow,0.24,-7.46,-7.7,-5.55,-5.79,0.807,0.94,0.0,0.733,0.52,96.0,0,,0.0,0.0,0.238,0.0,0.0,active,switch of play: score 0.73; bias -5.8deg applied
77.077,2310,follow,21.6,-6.31,-27.91,6.6,-15.0,0.839,0.943,0.811,0.485,-0.86,92.3,3,41;44;47,0.147,0.484,0.162,0.0,0.0,active,"breakaway: subgroup(n=3, breakaway=0.81) vs main cluster; bias -15.0deg applied"
77.578,2325,follow,25.6,-3.78,-29.38,10.6,-15.0,0.876,0.94,0.886,0.323,4.05,91.6,3,41;44;47,0.083,0.634,0.21,0.538,0.0,active,"breakaway: subgroup(n=3, breakaway=0.89) vs main cluster; bias -15.0deg applied"
78.078,2340,follow,32.38,1.38,-31.0,17.38,-15.0,0.859,0.937,0.94,0.142,8.0,92.0,3,41;44;47,0.067,0.89,0.272,1.0,0.0,active,"breakaway: subgroup(n=3, breakaway=0.94) vs main cluster; bias -15.0deg applied"
78.579,2355,follow,32.65,5.64,-27.01,17.65,-15.0,0.839,0.934,0.873,0.109,2.05,91.5,2,41;44,0.117,0.941,0.205,0.0,0.0,active,"breakaway: subgroup(n=2, breakaway=0.87) vs main cluster; bias -15.0deg applied"
79.079,2370,follow,32.21,8.93,-23.28,17.21,-15.0,0.94,0.928,0.879,0.016,1.2,91.6,2,41;44,0.083,0.973,0.125,0.0,0.0,active,"breakaway: subgroup(n=2, breakaway=0.88) vs main cluster; bias -15.0deg applied"
79.579,2385,follow,34.75,12.11,-22.64,19.75,-15.0,0.859,0.9,0.0,0.167,2.37,87.5,0,,0.0,0.0,0.07,0.0,0.0,active,"steady-state: zone 12.1 vs centroid 34.8, bias -15.0deg (conf 0.86)"
80.08,2400,follow,33.34,13.31,-20.03,18.34,-15.0,0.861,0.909,0.0,0.089,-1.97,87.1,0,,0.0,0.0,0.07,0.0,0.0,active,"steady-state: zone 13.3 vs centroid 33.3, bias -15.0deg (conf 0.86)"
80.581,2415,follow,24.63,13.98,-10.65,15.51,-9.12,0.836,0.908,0.0,0.049,-0.26,87.5,0,,0.0,0.0,0.09,0.0,0.0,active,"steady-state: zone 14.0 vs centroid 24.6, bias -9.1deg (conf 0.84)"
81.081,2430,follow,24.89,15.29,-9.6,18.21,-6.68,0.881,0.909,0.0,0.101,2.01,86.8,0,,0.0,0.0,0.073,0.0,0.0,active,"steady-state: zone 15.3 vs centroid 24.9, bias -6.7deg (conf 0.88)"
81.582,2445,follow,24.47,15.92,-8.55,16.76,-7.71,0.851,0.91,0.0,0.055,-0.51,87.2,0,,0.0,0.0,0.094,0.0,0.0,active,"steady-state: zone 15.9 vs centroid 24.5, bias -7.7deg (conf 0.85)"
82.082,2460,follow,20.71,14.93,-5.78,13.07,-7.64,0.851,0.935,0.875,0.285,-3.2,91.6,2,10;53,0.003,1.0,0.075,0.0,0.0,active,"breakaway: subgroup(n=2, breakaway=0.87) vs main cluster; bias -7.6deg applied"
82.582,2475,follow,22.34,14.29,-8.05,15.85,-6.49,0.808,0.948,0.893,0.485,0.02,92.3,2,10;53,0.032,0.972,0.226,0.289,0.0,active,"breakaway: subgroup(n=2, breakaway=0.89) vs main cluster; bias -6.5deg applied"
83.083,2490,follow,23.05,13.67,-9.38,14.87,-8.18,0.829,0.928,0.0,0.519,-0.49,92.8,0,,0.0,0.0,0.108,0.0,0.0,active,switch of play: score 0.52; bias -8.2deg applied
83.584,2505,follow,15.74,13.45,-2.29,14.16,-1.58,0.845,0.934,0.0,0.651,0.43,94.8,0,,0.0,0.0,0.137,0.0,0.0,active,switch of play: score 0.65; bias -1.6deg applied
84.084,2520,follow,1.14,9.44,8.3,1.37,0.23,0.767,0.946,0.0,0.877,-8.0,98.2,0,,0.0,0.0,0.225,0.0,0.0,active,switch of play: score 0.88; bias +0.2deg applied
84.585,2535,follow,3.72,8.78,5.06,10.42,6.7,0.706,0.946,0.793,0.508,4.43,92.6,4,10;41;53;56,0.128,0.462,0.236,0.0,0.0,active,"breakaway: subgroup(n=4, breakaway=0.79) vs main cluster; bias +6.7deg applied"
85.085,2550,follow,26.62,6.9,-19.72,11.62,-15.0,0.918,0.939,0.806,0.426,-3.3,91.4,3,10;41;56,0.141,0.404,0.071,0.0,0.0,active,"breakaway: subgroup(n=3, breakaway=0.81) vs main cluster; bias -15.0deg applied"
85.585,2565,follow,-13.13,3.35,16.48,-4.87,8.26,0.74,0.925,0.0,0.49,-5.32,92.3,0,,0.0,0.0,0.097,0.0,0.0,active,"steady-state: zone 3.4 vs centroid -13.1, bias +8.3deg (conf 0.74)"
86.086,2580,follow,-14.74,-1.64,13.1,-9.48,5.26,0.755,0.939,0.0,0.836,-6.13,97.5,0,,0.0,0.0,0.138,0.0,0.0,active,switch of play: score 0.84; bias +5.3deg applied
86.587,2595,follow,-12.65,-5.44,7.21,-7.57,5.08,0.854,0.933,0.826,0.158,-1.26,91.2,5,38;46;48;51;52,0.106,0.618,0.167,0.0,0.0,active,"breakaway: subgroup(n=5, breakaway=0.83) vs main cluster; bias +5.1deg applied"
87.087,2610,follow,-7.35,-7.1,0.25,-5.52,1.83,0.865,0.909,0.0,0.044,1.86,87.0,0,,0.0,0.0,0.109,0.0,0.0,active,"steady-state: zone -7.1 vs centroid -7.3, bias +1.8deg (conf 0.86)"
87.588,2625,follow,-9.47,-8.52,0.95,-9.32,0.15,0.887,0.913,0.0,0.087,-0.78,86.7,0,,0.0,0.0,0.146,0.0,0.0,active,"steady-state: zone -8.5 vs centroid -9.5, bias +0.2deg (conf 0.89)"
88.088,2640,follow,-10.63,-9.3,1.33,-9.16,1.47,0.893,0.919,0.0,0.257,0.32,88.9,0,,0.0,0.0,0.112,0.0,0.0,active,"steady-state: zone -9.3 vs centroid -10.6, bias +1.5deg (conf 0.89)"
88.588,2655,follow,-5.46,-8.73,-3.27,-6.22,-0.76,0.949,0.916,0.0,0.198,2.47,88.0,0,,0.0,0.0,0.102,0.0,0.0,active,"steady-state: zone -8.7 vs centroid -5.5, bias -0.8deg (conf 0.95)"
89.089,2670,follow,-4.11,-7.58,-3.47,-5.62,-1.51,0.889,0.917,0.0,0.215,1.77,88.2,0,,0.0,0.0,0.099,0.0,0.0,active,"steady-state: zone -7.6 vs centroid -4.1, bias -1.5deg (conf 0.89)"
89.59,2685,follow,1.17,-4.56,-5.73,0.7,-0.47,0.885,0.931,0.0,0.838,5.2,97.6,0,,0.0,0.0,0.133,0.0,0.0,active,switch of play: score 0.84; bias -0.5deg applied
